,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
4587,177324.99999999997,SFH,60002,1535,7,2,0,No,3.0,0,2.0,19A
4566,325437.5,SFH,60062,1021,7,2,0,Yes,3.0,1,4.0,19A
3642,474062.5,SFH,60076,2500,10,3,1,Yes,4.0,1,2.0,19A
1305,476625.0,SFH,60201,1673,6,2,0,No,3.0,0,0.0,Pre1900
2499,574000.0,SFH,60026,2856,8,2,1,No,4.0,0,2.5,19A
8370,717478.3789062497,SFH,60076,3056,10,2,1,No,4.0,0,2.0,19A
6272,158875.0,Condo,60077,1100,5,2,0,No,2.0,0,0.0,19A
3929,414996.875,SFH,60062,1849,9,2,0,Yes,3.0,1,1.0,19A
5828,658976.2957031247,SFH,60062,3100,10,3,1,Yes,4.0,1,2.0,19A
8061,919296.875,SFH,60062,3239,11,4,1,Yes,5.0,1,3.0,recent
5785,525312.5,Townhouse,60201,1800,8,2,1,No,3.0,0,1.0,19A
5666,698665.625,SFH,60025,2520,10,3,1,Yes,5.0,1,2.0,19A
2849,121347.1875,SFH,60002,1248,6,1,0,No,3.0,0,1.0,19A
7372,994250.0,SFH,60025,3300,11,4,1,Yes,5.0,0,3.0,19B
8568,451768.75,SFH,60053,2500,8,2,0,Yes,4.0,0,2.0,19A
1067,604109.375,SFH,60062,2777,9,2,1,No,4.0,0,2.0,19A
2929,379065.4999999999,SFH,60076,1428,7,2,0,Yes,3.0,0,1.0,19A
6162,404875.0,SFH,60076,1250,10,3,0,Yes,4.0,0,0.0,19A
7766,273675.0,Townhouse,60201,1820,10,3,0,No,3.0,0,0.0,20A
6818,462275.0,SFH,60053,1698,8,2,1,Yes,3.0,0,2.0,19A
6986,205922.5,Townhouse,60202,1560,7,1,1,No,3.0,0,0.0,19A
8518,376911.7187499999,SFH,60076,1411,8,3,0,Yes,3.0,1,2.0,19A
1904,366142.8124999999,SFH,60077,1375,7,2,0,Yes,3.0,0,0.0,19A
2707,294175.0,Duplex,60201,1380,5,1,1,No,2.0,0,1.0,19A
1183,573982.7031249998,SFH,60062,2153,10,2,1,No,4.0,0,2.0,19A
6310,404490.625,Townhouse,60062,2565,9,2,1,No,4.0,0,2.0,19A
4138,299300.0,SFH,60002,2825,9,3,1,Yes,4.0,0,2.0,recent
2418,667146.875,SFH,60201,2612,9,2,1,Yes,3.0,0,2.0,19A
8416,220631.25,SFH,60002,2456,6,2,2,Yes,3.0,0,2.0,19A
8841,309409.0625,Condo,60201,1371,5,2,0,No,2.0,0,1.0,20A
4537,367613.6875,SFH,60002,4159,11,3,1,Yes,4.0,0,3.0,20A
2284,562212.5,SFH,60091,1973,8,3,0,Yes,4.0,0,2.0,19A
2528,1486249.9999999998,SFH,60025,4500,11,4,2,Yes,4.0,0,2.0,19B
4385,344912.49999999994,SFH,60077,1257,7,2,0,Yes,3.0,0,2.0,19A
389,689209.9999999998,SFH,60062,2700,10,2,1,Yes,4.0,1,2.0,19A
4470,268037.5,SFH,60025,1254,7,2,0,Yes,3.0,0,2.0,19A
2081,273687.8125,SFH,60002,1683,7,2,0,Yes,3.0,0,3.0,19A
3792,463812.5,SFH,60062,2472,8,2,1,No,4.0,0,2.0,19A
7684,420250.0,SFH,60091,1883,7,2,1,Yes,3.0,0,1.0,19A
7950,146562.1875,Condo,60202,1000,5,1,0,No,2.0,0,0.0,19A
7668,271625.0,Condo,60201,1075,5,2,0,No,2.0,0,1.0,20A
2501,205000.0,Townhouse,60025,1176,7,1,1,Yes,3.0,0,0.0,19A
3946,436650.0,SFH,60091,1880,7,2,0,No,3.0,0,2.0,19A
8049,877531.2480468747,SFH,60062,2764,12,2,1,No,5.0,0,2.0,19A
8137,199875.0,SFH,60002,1437,6,2,0,No,3.0,0,1.5,19A
2459,645750.0,Duplex,60026,1986,6,2,0,No,3.0,0,2.0,20A
7898,522750.0,SFH,60025,1964,9,2,1,No,4.0,0,2.0,19A
8011,474639.5429687498,SFH,60062,1808,8,2,0,No,3.0,0,2.0,19A
9300,376911.7187499999,SFH,60076,1778,7,1,1,No,3.0,0,3.0,19B
6801,182020.78125,Townhouse,60077,1046,4,1,1,No,2.0,0,0.0,19A
34,310575.0,SFH,60053,1200,7,2,0,Yes,3.0,0,1.0,19A
1402,463601.4140624998,SFH,60077,1844,9,3,0,Yes,4.0,0,2.5,19A
347,277775.0,SFH,60053,2600,7,2,0,Yes,3.0,0,0.0,19A
6480,241900.0,Condo,60077,1124,4,2,0,No,2.0,0,1.0,20A
798,1297521.875,SFH,60062,5201,11,5,0,Yes,4.0,1,2.0,recent
748,174403.75,Condo,60076,1500,5,2,0,No,2.0,0,1.0,19A
